municipio_norm;pago;pessoal;pessoal_ativos
ADAMANTINA;306270685.00;163041074.68;151007921.27
ADOLFO;44610646.87;21379371.81;21302015.37
AGUAI;159405592.94;61877919.88;61463730.11
AGUASDAPRATA;55017130.70;27512269.58;20705608.78
AGUASDELINDOIA;165998803.16;71294938.78;69434821.10
AGUASDESANTABARBARA;76307507.78;33503973.21;32671088.29
AGUASDESAOPEDRO;54195225.33;22456879.99;21311952.53
AGUDOS;220963852.41;108324750.43;97970423.63
ALAMBARI;43196514.39;20917124.84;20351053.39
ALFREDOMARCONDES;34549284.12;16278642.12;15934237.84
ALTAIR;40495618.51;19557360.93;19536579.82
ALTINOPOLIS;119072888.53;55663718.38;49233141.03
ALTOALEGRE;42346271.64;21290601.45;20295958.59
ALUMINIO;131159676.16;69594730.47;68722102.15
ALVARESFLORENCE;38768899.51;18544343.34;18206142.29
ALVARESMACHADO;128223224.08;43863977.46;42813066.34
ALVARODECARVALHO;32727890.79;15483212.48;12203334.85
ALVINLANDIA;30014788.20;15466649.15;14531503.00
AMERICANA;1387778409.46;559768596.25;521387912.15
AMERICOBRASILIENSE;155806298.04;88305252.02;87158849.35
AMERICODECAMPOS;43838675.71;21349033.58;20550800.56
AMPARO;485890497.03;185533754.68;168573558.39
ANALANDIA;53981640.52;26485495.24;26290404.56
ANDRADINA;329323166.96;163324472.38;146226192.84
ANGATUBA;146383846.75;75570000.99;72885630.89
ANHEMBI;50290561.98;24568476.46;21097643.74
ANHUMAS;40001081.55;16149352.79;16127099.40
APARECIDA;205805688.24;114145471.23;112099468.99
APARECIDADOESTE;35319512.11;19928514.77;16602441.05
APIAI;154424486.00;54898368.80;54799029.33
ARACARIGUAMA;231965184.66;115035577.61;104376342.24
ARACATUBA;978624884.58;453261633.68;373176223.31
ARACOIABADASERRA;223959704.16;94216236.35;91968930.40
ARAMINA;42480899.24;21788149.12;21389844.14
ARANDU;71889317.58;30495046.55;24915583.49
ARAPEI;37173299.10;15994026.28;14833424.77
ARARAQUARA;1451328860.50;660666345.86;579558632.19
ARARAS;933449627.03;498937529.03;363006019.05
ARCOIRIS;28429031.29;13036966.95;12784153.50
AREALVA;53647143.12;24391380.01;24125159.00
AREIAS;35972347.17;21256039.08;20153176.59
AREIOPOLIS;56391643.01;29809363.99;29741822.11
ARIRANHA;59060040.63;30055873.49;29049777.27
ARTURNOGUEIRA;312163400.22;152428272.07;129507229.49
ARUJA;658808374.77;254736645.89;249236808.44
ASPASIA;27067768.21;13223860.94;10679534.37
ASSIS;643481816.16;370889488.26;287277937.39
ATIBAIA;1164731114.42;465055260.26;445158244.03
