municipio_norm;arrecadacao
ADAMANTINA;319343024.46
ADOLFO;47568372.23
AGUAI;176496607.52
AGUASDAPRATA;56439776.50
AGUASDELINDOIA;173388711.72
AGUASDESANTABARBARA;75317890.75
AGUASDESAOPEDRO;57021754.75
AGUDOS;238108817.50
ALAMBARI;45662433.31
ALFREDOMARCONDES;37537206.44
ALTAIR;40343014.29
ALTINOPOLIS;133616045.55
ALTOALEGRE;39560955.46
ALUMINIO;148846792.88
ALVARESFLORENCE;39265938.74
ALVARESMACHADO;136780653.14
ALVARODECARVALHO;32783834.11
ALVINLANDIA;30792888.26
AMERICANA;1505487756.45
AMERICOBRASILIENSE;182805268.98
AMERICODECAMPOS;48963619.52
AMPARO;505805227.91
ANALANDIA;56616792.83
ANDRADINA;332702811.17
ANGATUBA;158294611.80
ANHEMBI;58038427.44
ANHUMAS;43368141.57
APARECIDA;229340018.12
APARECIDADOESTE;40591556.73
APIAI;161444194.69
ARACARIGUAMA;250726451.86
ARACATUBA;1039845138.83
ARACOIABADASERRA;246661944.71
ARAMINA;47356125.14
ARANDU;79258572.90
ARAPEI;38694729.49
ARARAQUARA;1656695189.43
ARARAS;955706957.69
ARCOIRIS;30462924.34
AREALVA;58351532.48
AREIAS;44032074.65
AREIOPOLIS;62550896.53
ARIRANHA;66085863.59
ARTURNOGUEIRA;320552782.81
ARUJA;679144096.51
ASPASIA;29500241.18
ASSIS;637155071.40
ATIBAIA;1292291435.80
AURIFLAMA;91490802.23
AVAI;49231535.84
AVANHANDAVA;76868223.85
AVARE;559854387.56
BADYBASSITT;180404016.58
BALBINOS;30202685.61
BALSAMO;61222515.58
BANANAL;73706685.01
BARAODEANTONINA;38880593.51
BARBOSA;49606258.68
BARIRI;195908115.95
BARRABONITA;218228090.47
BARRADOCHAPEU;51556193.67
BARRADOTURVO;74465230.81
BARRETOS;1188397239.13
BARRINHA;166168734.85
BARUERI;5795920735.36
BASTOS;146180114.36
BATATAIS;354858921.61
BAURU;2071230070.19
BEBEDOURO;481577008.16
BENTODEABREU;39125281.05
BERNARDINODECAMPOS;77504353.17
BERTIOGA;1059270343.45
BILAC;58876433.90
BIRIGUI;703698500.60
BIRITIBAMIRIM;172351628.99
BOAESPERANCADOSUL;103634154.37
BOCAINA;69554384.61
BOFETE;90203698.07
BOITUVA;458780688.88
BOMJESUSDOSPERDOES;174861590.20
BOMSUCESSODEITARARE;39497787.60
BORA;27064020.44
BORACEIA;45713617.37
BORBOREMA;108103294.27
BOREBI;40815439.67
BOTUCATU;801048228.14
BRAGANCAPAULISTA;1136324563.11
BRAUNA;44017353.46
BREJOALEGRE;31746742.37
BRODOWSKI;201991976.20
BROTAS;206575967.96
BURI;155759992.64
BURITAMA;144152125.25
BURITIZAL;51441944.26
CABRALIAPAULISTA;39506098.70
CABREUVA;391128638.06
CACAPAVA;496731216.87
CACHOEIRAPAULISTA;145171802.97
CACONDE;100799157.37
CAFELANDIA;117092964.76
CAIABU;38534334.82
CAIEIRAS;542536795.05
CAIUA;50979775.59
CAJAMAR;1197968226.53
CAJATI;210992850.13
CAJOBI;67237334.30
CAJURU;129999958.98
CAMPINADOMONTEALEGRE;47571156.67
CAMPINAS;10066559441.91
CAMPOLIMPOPAULISTA;379368827.50
CAMPOSDOJORDAO;415149858.74
CAMPOSNOVOSPAULISTA;55995137.23
CANANEIA;103387912.19
CANAS;42462686.53
CANDIDOMOTA;207134361.92
CANDIDORODRIGUES;35685917.74
CANITAR;41926249.56
CAPAOBONITO;295222447.38
CAPELADOALTO;133732827.90
CAPIVARI;410813396.39
CARAGUATATUBA;1445494090.76
CARAPICUIBA;1045594424.73
CARDOSO;89028412.32
CASABRANCA;207822397.16
CASSIADOSCOQUEIROS;34135550.22
CASTILHO;181513058.69
CATANDUVA;769573850.51
CATIGUA;43463425.08
CEDRAL;89811426.76
CERQUEIRACESAR;137647539.87
CERQUILHO;284891015.90
CESARIOLANGE;120432660.55
CHARQUEADA;107947815.44
CHAVANTES;73441660.97
CLEMENTINA;55979012.61
COLINA;167702290.87
COLOMBIA;86264746.50
CONCHAL;202007852.58
CONCHAS;103776710.45
CORDEIROPOLIS;300337748.23
COROADOS;44292137.55
CORONELMACEDO;52702427.35
CORUMBATAI;55830924.26
COSMOPOLIS;342284163.84
COSMORAMA;64284875.42
COTIA;1754349781.48
CRAVINHOS;297821567.26
CRISTAISPAULISTA;62526816.96
CRUZALIA;37051148.25
CRUZEIRO;395094792.47
CUBATAO;1907711036.18
CUNHA;128167863.59
DESCALVADO;215839406.17
DIADEMA;2054603484.76
DIRCEREIS;29328953.22
DIVINOLANDIA;71107792.33
DOBRADA;46869472.38
DOISCORREGOS;161031515.03
DOLCINOPOLIS;30615475.89
DOURADO;70633917.49
DRACENA;258663572.12
DUARTINA;75808187.54
DUMONT;67451232.28
ECHAPORA;51819932.32
ELDORADO;98899320.62
ELIASFAUSTO;139988552.56
ELISIARIO;36243441.18
EMBAUBA;29777505.08
EMBUDASARTES;1401115620.37
EMBUGUACU;308716833.37
EMILIANOPOLIS;32737978.24
ENGENHEIROCOELHO;124031954.58
ESPIRITOSANTODOPINHAL;219906819.23
ESPIRITOSANTODOTURVO;45841196.89
ESTIVAGERBI;81268845.75
ESTRELADOESTE;80439575.40
ESTRELADONORTE;33794280.32
EUCLIDESDACUNHAPAULISTA;57938690.78
FARTURA;114596406.15
FERNANDOPOLIS;394113867.70
FERNANDOPRESTES;52646961.83
FERNAO;28350355.53
FERRAZDEVASCONCELOS;757803719.10
FLORARICA;26600517.08
FLOREAL;35375771.70
FLORIDAPAULISTA;65060592.77
FLORINEA;44546137.91
FRANCA;1465362645.63
FRANCISCOMORATO;673010176.44
FRANCODAROCHA;726755246.01
GABRIELMONTEIRO;33869261.91
GALIA;47786118.29
GARCA;280516563.60
GASTAOVIDIGAL;33906143.09
GAVIAOPEIXOTO;84076604.79
GENERALSALGADO;86008474.92
GETULINA;63302908.44
GLICERIO;45303191.81
GUAICARA;72317890.13
GUAIMBE;46697609.06
GUAIRA;320312078.15
GUAPIACU;140580812.56
GUAPIARA;102638153.13
